Interested-FollowUp	Could Not Connect
Interested-FollowUp	Payment Link Sent
Interested-FollowUp	Interested Followup
Interested-FollowUp	Not Interested (For making Payment)
Interested-FollowUp	Future Lead
Interested-FollowUp	Payment Done
Interested-FollowUp	Negotiation
Interested-FollowUp	Already paid Customer
Interested-FollowUp	Paid CX Service Request
Interested-FollowUp	Active Partner
Interested-FollowUp	Inactive Partner
Interested-FollowUp	Last Sync more than 15 days
Interested-FollowUp	Last Sync within 15 days
Demo Scheduled	Could Not Connect
Demo Scheduled	Demo Completed
Demo Scheduled	Demo Rescheduled
Demo Scheduled	Call Back (Demo Scheduled)
Demo Scheduled	Not Interested (For Demo Done)
Demo Scheduled	Future Lead
Demo Scheduled	Already paid Customer
Demo Scheduled	Paid CX Service Request
Demo Scheduled	Active Partner
Demo Scheduled	Inactive Partner
Demo Scheduled	Last Sync more than 15 days
Demo Scheduled	Last Sync within 15 days
Demo Completed Demo Data	Unable to sync (Oracle user)
Demo Completed Demo Data	Could Not Connect
Demo Completed Demo Data	Payment Link Sent
Demo Completed Demo Data	Interested Followup
Demo Completed Demo Data	Not Interested (For making Payment)
Demo Completed Demo Data	Future Lead
Demo Completed Demo Data	Payment Done
Demo Completed Demo Data	Negotiation
Demo Completed Demo Data	Already paid Customer
Demo Completed Demo Data	Paid CX Service Request
Demo Completed Demo Data	Active Partner
Demo Completed Demo Data	Inactive Partner
Demo Completed Demo Data	Last Sync more than 15 days
Demo Completed Demo Data	Last Sync within 15 days
Demo Completed-demo Syncing	Could Not Connect
Demo Completed-demo Syncing	Payment Link Sent
Demo Completed-demo Syncing	Interested Followup
Demo Completed-demo Syncing	Not Interested (For making Payment)
Demo Completed-demo Syncing	Future Lead
Demo Completed-demo Syncing	Payment Done
Demo Completed-demo Syncing	Negotiation
Demo Completed-demo Syncing	Already paid Customer
Demo Completed-demo Syncing	Paid CX Service Request
Demo Completed-demo Syncing	Active Partner
Demo Completed-demo Syncing	Inactive Partner
Demo Completed-demo Syncing	Last Sync more than 15 days
Demo Completed-demo Syncing	Last Sync within 15 days
Payment Done	Payment Verified
Payment Done	Payment Not Verified
Payment Done	Already paid Customer
Payment Done	Paid CX Service Request
Payment Done	Active Partner
Payment Done	Inactive Partner
Payment Done	Last Sync more than 15 days
Payment Done	Last Sync within 15 days
Customers	Payment Verified
Customers	Payment Not Verified
Customers	Already paid Customer
Customers	Paid CX Service Request
Customers	Active Partner
Customers	Inactive Partner
Customers	Last Sync more than 15 days
Customers	Last Sync within 15 days
Discussion Pending	Disqualified
Discussion Pending	Could Not Connect
Discussion Pending	Discussion Pending (Answered Calls)
Discussion Pending	Demo Scheduled
Discussion Pending	Interested Followup Counselling
Discussion Pending	Not Interested (For scheduling Demo)
Discussion Pending	Already paid Customer
Discussion Pending	Paid CX Service Request
Discussion Pending	Active Partner
Discussion Pending	Inactive Partner
Discussion Pending	Last Sync more than 15 days
Discussion Pending	Future Lead
Discussion Pending	Last Sync within 15 days
Negotiation	Could Not Connect
Negotiation	Payment Link Sent
Negotiation	Not Interested (For making Payment)
Negotiation	Future Lead
Negotiation	Payment Done
Negotiation	Negotiation
Negotiation	Already paid Customer
Negotiation	Paid CX Service Request
Negotiation	Active Partner
Negotiation	Inactive Partner
Negotiation	Last Sync more than 15 days
Negotiation	Last Sync within 15 days
Payment Not Done	Already paid Customer
Payment Not Done	Paid CX Service Request
Payment Not Done	Active Partner
Payment Not Done	Inactive Partner
Payment Not Done	Last Sync more than 15 days
Payment Not Done	Last Sync within 15 days
Payment Not Done	Not Interested (For making Payment)
Not Connected (New Lead)	Disqualified
Not Connected (New Lead)	Could Not Connect
Not Connected (New Lead)	Discussion Pending (Answered Calls)
Not Connected (New Lead)	Demo Scheduled
Not Connected (New Lead)	Not Interested (For scheduling Demo)
Not Connected (New Lead)	Interested Followup Counselling
Not Connected (New Lead)	Future Lead
Not Connected (New Lead)	Already paid Customer
Not Connected (New Lead)	Paid CX Service Request
Not Connected (New Lead)	Active Partner
Not Connected (New Lead)	Inactive Partner
Not Connected (New Lead)	Last Sync more than 15 days
Not Connected (New Lead)	Last Sync within 15 days
Not Connected (Discussion Pending)	Disqualified
Not Connected (Discussion Pending)	Could Not Connect
Not Connected (Discussion Pending)	Discussion Pending (Answered Calls)
Not Connected (Discussion Pending)	Demo Scheduled
Not Connected (Discussion Pending)	Not Interested (For scheduling Demo)
Not Connected (Discussion Pending)	Interested Followup Counselling
Not Connected (Discussion Pending)	Future Lead
Not Connected (Discussion Pending)	Already paid Customer
Not Connected (Discussion Pending)	Paid CX Service Request
Not Connected (Discussion Pending)	Active Partner
Not Connected (Discussion Pending)	Inactive Partner
Not Connected (Discussion Pending)	Last Sync more than 15 days
Not Connected (Discussion Pending)	Last Sync within 15 days
Not Connected (Demo Scheduled)	Unable to sync (Oracle user)
Not Connected (Demo Scheduled)	Could Not Connect
Not Connected (Demo Scheduled)	Demo Completed
Not Connected (Demo Scheduled)	Not Interested (For Demo Done)
Not Connected (Demo Scheduled)	Call Back (Demo Scheduled)
Not Connected (Demo Scheduled)	Demo Rescheduled
Not Connected (Demo Scheduled)	Future Lead
Not Connected (Demo Scheduled)	Already paid Customer
Not Connected (Demo Scheduled)	Paid CX Service Request
Not Connected (Demo Scheduled)	Active Partner
Not Connected (Demo Scheduled)	Inactive Partner
Not Connected (Demo Scheduled)	Last Sync more than 15 days
Not Connected (Demo Scheduled)	Last Sync within 15 days
Not Connected (Interested Followup)	Could Not Connect
Not Connected (Interested Followup)	Payment Link Sent
Not Connected (Interested Followup)	Interested Followup
Not Connected (Interested Followup)	Not Interested (For making Payment)
Not Connected (Interested Followup)	Future Lead
Not Connected (Interested Followup)	Payment Done
Not Connected (Interested Followup)	Negotiation
Not Connected (Interested Followup)	Already paid Customer
Not Connected (Interested Followup)	Paid CX Service Request
Not Connected (Interested Followup)	Active Partner
Not Connected (Interested Followup)	Inactive Partner
Not Connected (Interested Followup)	Last Sync more than 15 days
Not Connected (Interested Followup)	Last Sync within 15 days
Not Connected (Payment Link Sent)	Could Not Connect
Not Connected (Payment Link Sent)	Payment Link Sent
Not Connected (Payment Link Sent)	Interested Followup
Not Connected (Payment Link Sent)	Not Interested (For making Payment)
Not Connected (Payment Link Sent)	Future Lead
Not Connected (Payment Link Sent)	Payment Done
Not Connected (Payment Link Sent)	Negotiation
Not Connected (Payment Link Sent)	Already paid Customer
Not Connected (Payment Link Sent)	Paid CX Service Request
Not Connected (Payment Link Sent)	Active Partner
Not Connected (Payment Link Sent)	Inactive Partner
Not Connected (Payment Link Sent)	Last Sync more than 15 days
Not Connected (Payment Link Sent)	Last Sync within 15 days
Interested Followup Counselling	Disqualified
Interested Followup Counselling	Could Not Connect
Interested Followup Counselling	Discussion Pending (Answered Calls)
Interested Followup Counselling	Demo Scheduled
Interested Followup Counselling	Not Interested (For scheduling Demo)
Interested Followup Counselling	Interested Followup Counselling
Interested Followup Counselling	Future Lead
Interested Followup Counselling	Already paid Customer
Interested Followup Counselling	Paid CX Service Request
Interested Followup Counselling	Active Partner
Interested Followup Counselling	Inactive Partner
Interested Followup Counselling	Last Sync more than 15 days
Interested Followup Counselling	Last Sync within 15 days
Payment Verified	Plan Activation Done
Payment Verified	Plan Activation Failed
Payment Verified	Already paid Customer
Payment Verified	Paid CX Service Request
Payment Verified	Active Partner
Payment Verified	Inactive Partner
Payment Verified	Last Sync more than 15 days
Payment Verified	Last Sync within 15 days
Payment Verification Failed	Payment Verified
Payment Verification Failed	Payment Not Verified
